Nome da Escola,Número de Alunos
ABIGAIL SAMPAIO PROFESSORA EEEP,270
ADAHIL BARRETO CAVALCANTE EEM,229
ADAHIL BARRETO EEM,759
ADAUTO BEZERRA GOVERNADOR EEM,950
ADAUTO LEITE EEF,154
ADELINO CUNHA ALCANTARA EEM,80
ADHEMAR BATISTA HEMERITAS PROFESSOR ETEC,52
ADOLFO FERREIRA DE SOUSA EEEP,534
ADRIANO NOBRE EEEP,478
AGUIAR MONSENHOR EEM,5
ALAN PINHO TABOSA EEEP,125
ALBANIZA ROCHA SARASATE EEM,30
ALDA FACANHA PROFESSORA EEEP,45
ALDA FERRER AUGUSTO DUTRA EEM,49
ALFREDO ALMEIDA MACHADO LICEU,192
ALFREDO MACHADO EEM,628
ALFREDO NUNES DE MELO EEEP,440
ALICE MOREIRA DE OLIVEIRA EEM,160
ALMIR PINTO EEM,90
ALOISIO LEO ARLINDO LORSCHEIDER EEF,50
ALOISIO LORSCHEIDER DOM EEM,60
ALOYSIO BARROS LEAL PROFESSOR EEFM,30
AMADOR DOS SANTOS FERNANDES PROFESSOR EE,369
AMELIA FIGUEIREDO DE LAVOR EEEP,520
ANA COSTA TEIXEIRA EEM,740
ANA DE SIQUEIRA GONCALVES EEM,150
ANCHIETA EEM,70
ANDRADE FURTADO II DOUTOR EEM,341
ANTONIA LINDALVA DE MORAIS DONA EEM,1026
ANTONIA MARIA DA CONCEICAO EM,28
ANTONIETA JUCA MARQUES EMEFTI,53
ANTONIO ALVES DOS SANTOS EMEIF,30
ANTONIO COELHO MINISTRO EEM,545
ANTONIO GERALDO DE LIMA EEM,31
ANTONIO LAURENIO DE OLIVEIRA EMEIFTI,23
ANTONIO LEITE TAVARES DEPUTADO EEFM,100
ANTONIO LUIZ COELHO EEM,86
ANTONIO MARTINS FILHO EEM,37
ANTONIO MOTA FILHO EEEP,360
ANTONIO NEGREIROS BASTOS EEM,52
ANTONIO PEREIRA DE FARIAS EEM,110
ANTONIO PINHEIRO TORRES EMEFTI,20
ANTONIO RAIMUNDO DE MELO EEM,250
ANTONIO RODRIGUES DE OLIVEIRA EEEP,710
ANTONIO TARCISIO ARAGAO EEEP,651
ANTONIO VALMIR DA SILVA PROFESSOR EEEP,361
APOLIANO CORONEL EEM,470
ARACATUBA DE ETEC,45
ARIMATEIA DINIZ PADRE EEM,25
ARISTARCO CARDOSO EEM,320
ARMANDO JOSE FARINAZZO PROFESSOR ETEC,120
ARNO HAUSSER EE,85
ARSENIO FERREIRA MAIA EEMTI,60
AUTON ARAGAO EEM,50
AVELINO MAGALHAES EEEP,226
BALBINA VIANA ARRAIS EEEP,338
BARBARA DE ALENCAR EEFM,80
BASILIDES DE GODOY PROFESSOR ETEC,31
BELARMINO LINS DE MEDEIROS EEM,276
BENEDITO STORANI ETEC,8
CAMPO LIMPO PAULISTA DE ETEC,32
CARLOS DE CAMPOS ETEC,86
CARLOS GOMES EE,320
CARLOTA TAVORA DONA EEF,90
CARMINHA VASCONCELOS EEM,634
CARMOSINA FERREIRA GOMES PROFESSORA EEM,40
CARNEIRO DE MENDONCA EEM,544
CATAO PORFIRIO SAMPAIO MONSENHOR EEM,260
CELIA RIBEIRO LANDIM PROFESSORA EE,632
CELSO ARAUJO COLEGIO ESTADUAL EEMTI,202
CENTRO EDUCACIONAL DE MAURITI,96
CESAR CALS DE OLIVEIRA FILHO GOVERNADOR EEM,300
CESAR CALS EEF,60
CICERO CASTILHO CUNHA EE,20
CLOVIS BEVILAQUA EEFM,20
COELHO MASCARENHAS EEM,270
CORIOLANO PADRE EEM,950
CORONEL HUMBERTO BEZERRA,110
CORONEL HUMBERTO BEZERRA EEF,135
CUSTODIO DA SILVA LEMOS EEM,300
DARCY PEREIRA DE MORAES ETEC,80
DARCY RIBEIRO EEEP,180
DARIO CAMPOS FEIJO PREFEITO EEM,260
DARIO CATUNDA FONTENELE EEEP,185
DARIO DE QUEIROZ PROFESSOR EE,215
DELMIRO GOUVEIA EEM,30
DONA LUIZA TAVORA - PIO XII EEFM,100
DORALICE FERREIRA DE SOUSA EM,23
EDITE ALCANTARA MOTA EEM,41
EDSON OLEGARIO DE SANTANA EEF,80
ELSA MARIA PORTO COSTA LIMA PROFESSORA EEEP,238
EMMANUEL OLIVEIRA DE ARRUDA COELHO PROFESSOR EEEP,637
EPITACIO PESSOA EEM,600
ESTRELA TORQUATO EEM,520
ETELVINA GOMES BEZERRA EEM,150
EUDES VERAS PROFESSORA EEM,4
EXPEDITO ALVARO FEITOSA EEF,19
EXPEDITO DA SILVEIRA DE SOUSA MONSENHOR EEEP,710
FARIAS BRITO EEM,90
FERNANDES TAVORA SENADOR EEM,70
FERRUCIO HUMBERTO GAZZETTA ETEC,119
FILGUEIRAS LIMA EEM,694
FILGUEIRAS LIMA EEMTI,224
FIRMINO ARARUNA EEF,62
FLAVIO RIBEIRO LIMA EEM,60
FLAVIO RODRIGUES EEM,40
FRANCISCA CASTRO DE MESQUITA EEEP,685
FRANCISCA DE ALBUQUERQUE MOURA EEEP,567
FRANCISCA MAURA MARTINS EEEP,360
FRANCISCA MOREIRA DE SOUZA EEM,200
FRANCISCA NEILYTA CARNEIRO ALBUQUERQUE EEEP,179
FRANCISCA ROCHA SILVA EEEP,330
